gene,in_msk_snv,in_msk_cna,in_msk_impact
ACKR3,0,0,0
AKT2,1,1,1
AKT3,1,1,1
ARFRP1,0,0,0
ARID1A,1,1,1
ASXL1,1,1,1
AURKA,1,1,1
BCL9,0,0,0
BIRC3,1,1,1
BRD3,0,0,0
BRIP1,1,1,1
CASP8,1,1,1
CCNE1,1,1,1
CDX2,0,0,0
CNTRL,0,0,0
COX6C,0,0,0
CREB1,0,0,0
CRKL,1,1,1
EP300,1,1,1
ETV6,1,1,1
EWSR1,0,0,0
EZR,0,0,0
FAS,0,0,0
FCRL4,0,0,0
FH,1,1,1
FLT1,1,1,1
FLT3,1,1,1
GAS7,0,0,0
GNAS,1,1,1
HOXA11,0,0,0
IL2,0,0,0
INHBA,1,1,1
KEAP1,1,1,1
LHFPL6,0,0,0
LMO1,1,1,1
MAML2,0,0,0
MAP2K4,1,1,1
MLF1,0,0,0
MN1,0,0,0
MNX1,0,0,0
MSI2,1,1,1
MYC,1,1,1
NFIB,0,0,0
NFKBIA,1,1,1
NSD3,0,0,0
PAX7,0,0,0
PBX1,0,0,0
PCM1,0,0,0
PDGFB,0,0,0
PER1,0,0,0
PRRX1,0,0,0
RUNX1T1,0,0,0
SBDS,0,0,0
SDC4,0,0,0
SEPT5,0,0,0
SMARCA4,1,1,1
SOX10,0,0,0
TCL1A,0,0,0
TERT,1,1,1
TLX3,0,0,0
TOP1,1,1,1
TRRAP,0,0,0
U2AF1,1,1,1
WRN,0,0,0
WWTR1,1,1,1
YWHAE,0,0,0
ZNF217,0,0,0
