ModelID,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,TP53_mut,KRAS_mut,abs_cn_17p,ploidy,ratio_17p,loh_frac_17p,has_17p_loss,master_ccl_id,SN-38_AUC,fluorouracil_AUC,oxaliplatin_AUC,has_snv,has_cna,has_both
ACH-000001,NIHOVCAR3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1,0,4.954431451082143,3.734830703606039,1.326547799421955,0.3927612811550848,0,135853.0,,,,1,1,1
ACH-000003,CACO2,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0,0,,,,,-1,,,,,0,0,0
ACH-000007,LS513,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0,1,,,,,-1,632.0,9.5636,10.117,12.04,1,1,1
ACH-000008,A101D,Skin,Melanoma,Melanoma,0,0,3.4790509330207704,2.8940440455899568,1.2021416668907534,0.0,0,23.0,13.007,15.802,15.0,1,1,1
ACH-000009,C2BBE1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,1,0,4.4226822682012825,4.153083631874306,1.0649152919189602,0.7201123103019005,1,102.0,13.478,12.691,12.347,1,1,1
ACH-000011,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,0,0,3.0,2.6055341534389007,1.1513953851038434,0.0,0,8.0,12.58,12.734,13.048,1,1,1
ACH-000012,HCC827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1,0,5.979846305560064,2.8856235095363747,2.0722891554625673,1.0,1,340.0,13.385,13.008,14.565,1,1,1
ACH-000013,ONCODG1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1,0,3.100102257169929,3.152482269000983,0.9833845181791766,0.3839237225622253,0,898.0,11.866,13.902,12.268,1,1,1
ACH-000014,HS294T,Skin,Melanoma,Melanoma,0,0,4.063292002554379,2.969840896484076,1.3681850793302812,0.0047946026480658035,0,395.0,10.305,13.524,14.521,1,1,1
ACH-000015,NCIH1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,1,0,,,,,-1,155425.0,10.047,14.465,13.555,1,1,1
ACH-000016,SLR21,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,0,0,,,,,-1,1065.0,,,,0,0,0
ACH-000017,SKBR3,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,1,0,2.8599411106576946,4.236134716168646,0.675129877183027,0.9981807430149412,1,1033.0,8.1849,12.489,10.435,1,1,1
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,1,0,3.1904390457278304,3.6897132028380293,0.8646848333019026,0.9927892298662855,1,1172.0,9.0654,12.537,13.928,1,1,1
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,0,0,5.218029411305205,4.192951293639925,1.2444765144828105,0.0,0,646.0,13.801,13.413,14.322,1,1,1
ACH-000021,NCIH1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1,0,3.768940268631516,2.972202614814979,1.2680630350855586,0.9945633020724013,1,155439.0,10.789,14.326,14.512,1,1,1
ACH-000022,PATU8988S,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1,1,1.7186815252357213,3.1339386836256238,0.5484094293917056,0.9019421004594699,1,929.0,13.525,14.252,12.563,1,1,1
ACH-000023,PATU8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1,1,2.797726839227881,3.089162220641184,0.9056587642222256,0.9559618233154061,1,930.0,14.536,15.744,15.0,1,1,1
ACH-000025,CH157MN,CNS/Brain,Meningothelial Tumor,Meningioma,0,0,4.005293412965168,3.8138361396304545,1.0502007077192532,1.0,1,140.0,,,,1,1,1
ACH-000026,253JBV,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,0,0,3.0,2.5625875889600884,1.170691691836928,0.0,0,9.0,11.252,14.096,14.227,1,1,1
ACH-000027,GOS3,CNS/Brain,Diffuse Glioma,Glioblastoma,0,0,1.9572279186763295,1.8575420767350577,1.0536654556522813,0.04277208132367046,0,281.0,11.297,13.983,14.265,1,1,1
ACH-000028,KPL1,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,0,0,4.0,3.8049301590693374,1.0512676534852285,0.0,0,569.0,14.641,14.624,,1,1,1
ACH-000029,HCC827GR5,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1,0,4.0,2.647228190148035,1.5110144319580994,1.0,1,341.0,,,,1,1,1
ACH-000030,PC14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1,0,4.812990655703309,3.3951861610280556,1.417592564127896,0.9985413943393158,1,931.0,,13.372,15.696,1,1,1
ACH-000031,PANC0213,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1,1,2.224035585092391,3.640593292341608,0.6108992151831123,0.8613198499077099,1,921.0,,,,1,1,1
ACH-000033,NCIH1819,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0,0,,,,,-1,,,,,0,0,0
ACH-000035,NCIH1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,1,0,2.071363602934699,2.1486766686343586,0.9640182877078487,0.9954638786274884,1,155434.0,,12.63,14.196,1,1,1
ACH-000036,U343,CNS/Brain,Diffuse Glioma,Glioblastoma,0,0,3.0,2.8775908561784687,1.0425387589617567,0.0,0,1227.0,,,,1,1,1
ACH-000037,S117,Soft Tissue,"Sarcoma, NOS","Sarcoma, NOS",1,0,2.250063498080471,3.2706639156106254,0.6879531361633008,0.9999285536260218,1,1002.0,,,,1,1,1
ACH-000039,SKNMC,Bone,Ewing Sarcoma,Ewing Sarcoma,0,0,0.9999499416718548,2.017455106251313,0.49564916640444523,0.9999499416718548,1,1056.0,,12.778,14.658,1,1,1
ACH-000040,U118MG,CNS/Brain,Diffuse Glioma,Astrocytoma,1,0,4.00738623824051,4.072912335486609,0.9839117339513594,1.0,1,1218.0,9.4518,13.584,14.004,1,1,1
ACH-000041,RDES,Bone,Ewing Sarcoma,Ewing Sarcoma,1,0,2.0,3.0267526221742296,0.6607741859535667,1.0,1,963.0,,,,1,1,1
ACH-000042,PANC0203,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1,1,2.0,3.5301838696476304,0.5665427280419908,1.0,1,920.0,12.484,14.325,14.884,1,1,1
ACH-000043,HS895T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",0,0,2.0,1.9999095633115789,1.0000452203890018,0.0,0,434.0,14.196,14.732,14.624,1,1,1
ACH-000044,MDAMB134VI,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,0,0,,,,,-1,647.0,,,,1,1,1
