Tumor_Sample_Barcode,Chromosome,Start,End,Segment_Mean,NumProbes,LOH
ACH-000001,1,10001,6335918,1.7621356648395683,5148,0
ACH-000001,1,7566788,15192953,1.7784014133107096,6664,0
ACH-000001,1,15721810,16520316,1.896562611077248,669,0
ACH-000001,1,17279120,30479218,0.6013967597557067,12311,1
ACH-000001,1,35647312,45030041,0.8826583328748431,9133,0
ACH-000001,1,45491393,53245563,0.9128286640381652,7201,0
ACH-000001,1,54346931,64532718,0.9536653466276536,9920,0
ACH-000001,1,65146022,66159475,0.929020283026006,899,1
ACH-000001,1,67626045,72376725,0.9979227189990506,4378,0
ACH-000001,1,72376726,72471725,0.2985538338141263,94,0
ACH-000001,1,72471726,73936446,0.9770694380993232,1296,0
ACH-000001,1,73936447,80511503,1.0085768385245957,5982,0
ACH-000001,1,83131735,92558190,0.9795200983867486,9031,0
ACH-000001,1,108424626,116204581,0.9054199497777046,7094,0
ACH-000001,1,149642088,150906778,1.2367380847171123,961,1
ACH-000001,1,150906779,151832971,1.6995455164557414,837,0
ACH-000001,1,155667853,156318852,1.8936425122056224,647,0
ACH-000001,1,156318853,205588320,1.1781734928604648,46617,0
ACH-000001,1,205588321,206678525,2.3232557846402053,699,0
ACH-000001,1,206678526,213481187,1.1415784453363849,6635,0
ACH-000001,1,220130725,248740764,1.1728316974474335,25602,0
ACH-000001,10,411977,12278747,0.5480433806228753,9967,0
ACH-000001,10,51763507,71282452,1.269940583991,17118,0
ACH-000001,10,77288962,102531344,1.237812674917758,22994,0
ACH-000001,10,104137345,104708344,1.8427303828395591,571,0
ACH-000001,10,104708345,122577059,1.2756698496275225,17096,0
ACH-000001,10,123225316,133463757,1.2467074804125378,9131,0
ACH-000001,11,179001,3805196,0.8616285742578382,2608,0
ACH-000001,11,3805197,12875595,1.2480727230439947,8172,0
ACH-000001,11,12875596,14360739,1.9608551956892943,1481,0
ACH-000001,11,14360740,35385528,1.3198756365046216,19800,0
ACH-000001,11,36133692,47674027,1.271798400928276,10509,0
ACH-000001,11,55456301,72489054,1.2280965615902055,14910,0
ACH-000001,11,76362523,78104837,8.22387878365442,1692,1
ACH-000001,11,78104838,88871155,0.6652087266066815,9888,1
ACH-000001,11,89914355,129834482,0.6467970482518185,37279,1
ACH-000001,12,3191751,5317408,0.9270833781581048,2048,0
ACH-000001,12,7379577,12437576,0.9127495768875528,3763,0
ACH-000001,12,12568348,14443828,1.0027416829203406,1551,0
ACH-000001,12,15068920,20530214,0.9811550188325018,5147,0
ACH-000001,12,20530215,22092577,1.319258244995319,1470,0
ACH-000001,12,23184765,26247194,2.278191465160011,2742,0
ACH-000001,12,31411505,32520730,1.540382886351825,996,0
ACH-000001,12,45838838,46619413,0.9035184709295192,761,0
ACH-000001,12,47142414,56107517,1.2263102334981504,8440,0
ACH-000001,12,56107518,57335730,0.9073487003098692,1223,0
ACH-000001,12,57377260,60553532,1.3313417936257617,3132,0
ACH-000001,12,60553533,71444411,0.951815596578574,10540,0
ACH-000001,12,99927884,112172949,0.9363287099156898,11666,0
ACH-000001,12,112844465,114263811,0.9449952612752772,1395,0
ACH-000001,12,114659660,121096141,0.9547983642994688,6026,0
ACH-000001,12,121096142,122805146,0.9031027224805228,1634,0
ACH-000001,12,122805147,133832939,0.9655032362260108,7530,0
ACH-000001,13,19438582,35558242,0.6262080674606015,13767,1
ACH-000001,13,35565243,44592068,0.648815864000825,8463,1
ACH-000001,13,45277325,66468454,0.6340704286128714,17611,1
ACH-000001,13,66477455,112935221,0.6570030622559802,43064,1
ACH-000001,14,29815011,33502064,0.6475134205789809,3627,1
ACH-000001,14,35511569,36079951,1.7549062969186142,451,0
ACH-000001,14,36079952,49581984,1.257405518551107,10942,0
ACH-000001,14,55789812,74711069,1.217322984615339,18025,0
ACH-000001,14,81210502,97054250,1.2312997354406408,15155,0
ACH-000001,15,31749864,35265563,1.1418617593999716,2207,0
ACH-000001,15,35265564,40519352,1.1565855637980853,5045,0
ACH-000001,15,40519353,45545928,1.066873407667574,4561,0
ACH-000001,15,45912503,60373565,1.120250988878244,14108,0
ACH-000001,15,63554591,71089550,1.0797228201076872,7405,0
ACH-000001,15,73323460,102508790,0.6224694765721731,24663,0
ACH-000001,16,60001,1801468,0.5780619429851322,921,0
ACH-000001,16,1811665,2098710,1.7991481630707662,287,1
ACH-000001,16,2098711,2424710,1.211361109652612,324,1
ACH-000001,16,2424711,4222488,0.5865060925601032,1549,1
ACH-000001,16,4915666,32498540,0.6368312335168792,17442,1
ACH-000001,16,46457332,57360581,0.636348064439277,10523,1
ACH-000001,16,66213818,68270616,1.1572110464055825,2046,1
ACH-000001,16,68270617,70652658,0.6217881382507653,2070,1
ACH-000001,16,70658659,81175266,0.6377778947246061,9044,1
ACH-000001,16,81275167,84189209,0.6419972399080983,2453,1
ACH-000001,16,85916602,90291285,0.6288770968607587,2353,0
ACH-000001,17,9296194,16365217,1.169724679767136,5198,0
ACH-000001,17,16365218,17346863,1.7641961816667746,814,0
ACH-000001,17,28850628,30036470,1.262131298038239,962,1
ACH-000001,17,30036471,34491071,0.5778840675471224,3338,1
ACH-000001,17,34759262,41342233,0.598715696950617,5935,1
ACH-000001,17,41501046,46903727,1.1973010915888274,3974,1
ACH-000001,17,46907728,53901866,1.3040462157709396,6239,1
